Year,CO2
1888,1194352600.0
1889,1194624000.0
1890,1300362400.0
1891,1361750100.0
1892,1372396500.0
1893,1355477200.0
1894,1403019100.0
1895,1487432300.0
1896,1536365600.0
1897,1609231600.0
1898,1697166300.0
1899,1853709200.0
1900,1952209500.0
1901,2016744400.0
1902,2067683800.0
1903,2254100200.0
1904,2279747300.0
1905,2427318300.0
1906,2534733000.0
1907,2888318000.0
1908,2776440800.0
1909,2890495000.0
1910,3034089700.0
1911,3079502000.0
1912,3235963600.0
1913,3506275800.0
1914,3180355600.0
1915,3134854000.0
1916,3385858300.0
1917,3540426800.0
1918,3493264100.0
1919,3029006600.0
1920,3521427500.0
1921,3090096600.0
1922,3240313900.0
1923,3676233200.0
1924,3687220200.0
1925,3727033600.0
1926,3661030400.0
1927,3996128800.0
1928,3978763300.0
1929,4270907600.0
1930,3938598400.0
1931,3519903200.0
1932,3173476400.0
1933,3341518300.0
1934,3634241800.0
1935,3814798300.0
1936,4185513700.0
1937,4474233000.0
1938,4206901000.0
1939,4451247000.0
1940,4861346000.0
1941,4970814500.0
1942,4959586000.0
1943,5041694000.0
1944,5117908500.0
1945,4257136000.0
1946,4646123500.0
1947,5145782000.0
1948,5424953000.0
1949,5181006000.0
1950,5929342000.0
1951,6381405700.0
1952,6467437000.0
1953,6650861600.0
1954,6789497300.0
1955,7443861000.0
1956,7925980700.0
1957,8185614000.0
1958,8417160000.0
1959,8854662000.0
1960,9386421000.0
1961,9414383000.0
1962,9746556000.0
1963,10266046000.0
1964,10823619000.0
1965,11309690000.0
1966,11861708000.0
1967,12236328000.0
1968,12904336000.0
1969,13760840000.0
1970,14898157000.0
1971,15502787000.0
1972,16223440000.0
1973,17083500000.0
1974,17009382000.0
1975,17049979000.0
1976,17985243000.0
1977,18494652000.0
1978,19063955000.0
1979,19603001000.0
1980,19482442000.0
1981,19016950000.0
1982,18865373000.0
1983,18985900000.0
1984,19641730000.0
1985,20305132000.0
1986,20607515000.0
1987,21245784000.0
1988,22077385000.0
1989,22378970000.0
1990,22752700000.0
1991,23229475000.0
1992,22567199000.0
1993,22798350000.0
1994,23034776000.0
1995,23524491000.0
1996,24250161000.0
1997,24395952000.0
1998,24330945000.0
1999,24833495000.0
2000,25501286000.0
2001,25674930000.0
2002,26248288000.0
2003,27648650000.0
2004,28620194000.0
2005,29592103000.0
2006,30605767000.0
2007,31499735000.0
2008,32041902000.0
2009,31493265000.0
2010,33306330000.0
2011,34436470000.0
2012,34935450000.0
2013,35232470000.0
2014,35466195000.0
2015,35463213000.0
2016,35460026000.0
2017,36025455000.0
2018,36766945000.0
2019,37040103000.0
2020,35007738000.0
2021,36816544000.0
2022,37149786000.0
2023,36032878222.8208
2024,34900424497.9194
2025,33752424825.2958
2026,32588879204.9501
2027,31409787636.8822
2028,30215150121.0921
2029,29004966657.5798
2030,27779237246.3454
2031,26537961887.3888
2032,25281140580.7100
2033,24008773326.3090
2034,22720860124.1859
2035,21417400974.3406
2036,20098395876.7731
2037,18763844831.4834
2038,17413747838.4716
2039,16048104897.7376
2040,14666916009.2814
2041,13270181173.1031
2042,11857900389.2025
2043,10430073657.5798
2044,8986700978.23494
2045,7527782351.16789
2046,6053317776.37865
2047,4563307253.86726
2048,3057750783.63367
2049,1536648365.67793
2050,0
2051,-1552194313.40010
2052,-3119934574.52238
2053,-4703220783.36683
2054,-6302052939.93346
2055,-7916431044.22226
2056,-9546355096.23323
2057,-11191825095.9664
2058,-12852841043.4217
2059,-14529402938.5992
2060,-16221510781.4989
2061,-17929164572.1207
2062,-19652364310.4647
2063,-21391109996.5309
2064,-23145401630.3193
2065,-24915239211.8298
2066,-26700622741.0626
2067,-28501552218.0175
2068,-30318027642.6945
2069,-32150049015.0938
2070,-33997616335.2152
2071,-35860729603.0588
2072,-37739388818.6245
2073,-39633593981.9125
2074,-41543345092.9226
2075,-43468642151.6549
2076,-45409485158.1093
2077,-47365874112.2860
2078,-49337809014.1848
2079,-51325289863.8058
2080,-53328316661.1489
2081,-55346889406.2143
2082,-57381008099.0018
2083,-59430672739.5115
2084,-61495883327.7433
2085,-63576639863.6974
2086,-65672942347.3736
2087,-67784790778.7720
2088,-69912185157.8925
2089,-72055125484.7353
2090,-74213611759.3002
2091,-76387643981.5872
2092,-78577222151.5965
2093,-80782346269.3279
2094,-83003016334.7815
2095,-85239232347.9573
2096,-87490994308.8553
2097,-89758302217.4754
2098,-92041156073.8177
2099,-94339555877.8822
2100,-96653501629.6688
