Year,GDP
1956,2527.31423884738
1957,2650.6708015998506
1958,2760.682570810825
1959,2968.547828916513
1960,3221.1963237463033
1961,3234.4815849500255
1962,3392.3030952076724
1963,3639.1223621671925
1964,3904.035563838871
1965,4134.976848387719
1966,4397.250767247486
1967,4575.239628993382
1968,4892.622533155339
1969,5299.563358633975
1970,5839.9236124225
1971,6127.194461489344
1972,6469.589974766171
1973,6878.220321339165
1974,6843.005494434883
1975,6862.293876849858
1976,7306.655028929068
1977,7548.684627116872
1978,7819.170967831526
1979,8075.281650573179
1980,8018.00184921921
1981,7796.838026594096
1982,7724.82100215104
1983,7782.085599715632
1984,8093.682511783356
1985,8408.87702051207
1986,8552.544753097916
1987,8855.79811062739
1988,9250.90706214292
1989,9394.195650231213
1990,9571.7616565851
1991,9798.28624032035
1992,9483.62671493029
1993,9593.45081236616
1994,9705.781159456905
1995,9938.453775520895
1996,10283.232957900756
1997,10352.500947177346
1998,10321.614924179334
1999,10560.385685138172
2000,10877.665488603427
2001,10960.166951176177
2002,11232.579897075766
2003,11897.917675123403
2004,12359.516123407144
2005,12821.287989913448
2006,13302.898425962756
2007,13727.639087852818
2008,13985.232615177005
2009,13724.565071688448
2010,14585.985646194142
2011,15122.93597509678
2012,15360.010563303407
2013,15501.130235813594
2014,15612.177288057359
2015,15610.760484934926
2016,15609.246282536806
2017,15877.892014500183
2018,16230.187570252583
2019,16359.96996707279
2020,15394.355923502775
2021,16253.752968666267
2022,16412.08238051274
2023,16107.76259511901
2024,15803.442809725275
2025,15499.12302433154
2026,15194.80323893781
2027,14890.483453544075
2028,14586.163668150342
2029,14281.843882756608
2030,13977.524097362877
2031,13673.204311969144
2032,13368.88452657541
2033,13064.564741181677
2034,12760.244955787944
2035,12455.925170394212
2036,12151.605385000477
2037,11847.285599606745
2038,11542.965814213012
2039,11238.64602881928
2040,10934.326243425545
2041,10630.006458031812
2042,10325.686672638078
2043,10021.366887244347
2044,9717.047101850616
2045,9412.72731645688
2046,9108.407531063147
2047,8804.087745669414
2048,8499.767960275683
2049,8195.448174881949
2050,7891.128389488216
2051,7586.808604094482
2052,7282.488818700749
2053,6978.169033307016
2054,6673.849247913283
2055,6369.529462519551
2056,6065.209677125817
2057,5760.889891732085
2058,5456.57010633835
2059,5152.250320944618
2060,4847.930535550885
2061,4543.6107501571505
2062,4239.29096476342
2063,3934.971179369685
2064,3630.6513939759534
2065,3326.3316085822207
2066,3022.0118231884862
2067,2717.692037794754
2068,2413.37225240102
2069,2109.0524670072878
2070,1804.7326816135537
2071,1500.4128962198215
2072,1196.0931108260893
2073,891.7733254323548
2074,587.4535400386226
2075,283.13375464488854
2076,-21.186030748843677
2077,-325.5058161425761
2078,-629.8256015363085
2079,-934.1453869300443
2080,-1238.4651723237766
2081,-1238.4651723237766
2082,-1238.4651723237766
2083,-1238.4651723237766
2084,-1238.4651723237766
2085,-1238.4651723237766
2086,-1238.4651723237766
2087,-1238.4651723237766
2088,-1238.4651723237766
2089,-1238.4651723237766
2090,-1238.4651723237766
2091,-1238.4651723237766
2092,-1238.4651723237766
2093,-1238.4651723237766
2094,-1238.4651723237766
2095,-1238.4651723237766
2096,-1238.4651723237766
2097,-1238.4651723237766
2098,-1238.4651723237766
2099,-1238.4651723237766
2100,-1238.4651723237766
