Year,PH
1932,8.234041720299055
1933,8.232427573467097
1934,8.230712223640197
1935,8.228954634141708
1936,8.227074440652984
1937,8.225117496116388
1938,8.223324843962821
1939,8.221475526259724
1940,8.219508747354055
1941,8.217551830529015
1942,8.215651032370719
1943,8.213768950938126
1944,8.211907529198044
1945,8.210395080264682
1946,8.208779964079469
1947,8.20703251787181
1948,8.205235145229091
1949,8.203559565173622
1950,8.201688708110325
1951,8.199728176695594
1952,8.197794320251797
1953,8.19585843953174
1954,8.193934562531048
1955,8.191882810270828
1956,8.189760697313147
1957,8.187632916855991
1958,8.185508718625993
1959,8.183339863550188
1960,8.181110051238331
1961,8.178940993366087
1962,8.176762306403134
1963,8.174536743150759
1964,8.172262620201181
1965,8.169960824047312
1966,8.167623351212722
1967,8.165289160163013
1968,8.162906999545726
1969,8.160450812852808
1970,8.157882970652135
1971,8.155304878719859
1972,8.152702445245879
1973,8.15006023359842
1974,8.14752258373213
1975,8.145065731951957
1976,8.142562023939094
1977,8.140075248898395
1978,8.137598916723281
1979,8.135138527421297
1980,8.13277397425113
1981,8.130538594841703
1982,8.128387670655467
1983,8.126286100343671
1984,8.12417473141285
1985,8.122055355028163
1986,8.11996647122228
1987,8.117874621527697
1988,8.115763529979821
1989,8.11368506622573
1990,8.111631764798087
1991,8.109594252884069
1992,8.107668650791371
1993,8.105774336947402
1994,8.103909776239526
1995,8.102054222163206
1996,8.100190288212518
1997,8.098362687962426
1998,8.096585100433808
1999,8.094815025306287
2000,8.09304161084426
2001,8.091299258745373
2002,8.089560614058616
2003,8.087773586014189
2004,8.085969405547498
2005,8.084150389278305
2006,8.082316272756389
2007,8.080476221072292
2008,8.078651611815692
2009,8.076902278521352
2010,8.075097420751526
2011,8.073277785822787
2012,8.071477687488795
2013,8.069706825561513
2014,8.067967220306624
2015,8.066268867646997
2016,8.06460986903444
2017,8.062962738367686
2018,8.061319744310165
2019,8.059701669773489
2020,8.058205152076841
2021,8.056664219776092
2022,8.055142120506751
2023,8.053695952904935
2024,8.052322441592548
2025,8.051018619428003
2026,8.049781796399795
2027,8.048609532716466
2028,8.047499615462064
2029,8.046450038297023
2030,8.045458983773633
2031,8.044524807907916
2032,8.043646026708943
2033,8.042821304415371
2034,8.042049443229239
2035,8.041329374370513
2036,8.040660150303967
2037,8.040040938013531
2038,8.039471013219291
2039,8.038949755449526
2040,8.038476643894835
2041,8.03805125398448
2042,8.037673254636264
2043,8.037342406141608
2044,8.037058558656694
2045,8.036821651279016
2046,8.03663171169693
2047,8.036488856407392
2048,8.03639329150491
2049,8.036345314052355
2050,8.036345314052355
2051,8.036393777046364
2052,8.036491287377624
2053,8.036638532164169
2054,8.036836306039065
2055,8.03708551672769
2056,8.037387191546063
2057,8.037742484920926
2058,8.038152687051436
2059,8.038619233855227
2060,8.039143718368365
2061,8.039727903800943
2062,8.040373738488624
2063,8.041083373027002
2064,8.04185917993232
2065,8.04270377624129
2066,8.043620049547895
2067,8.044611188080406
2068,8.04568071555297
2069,8.0468325316905
2070,8.048070959533009
2071,8.04940080088908
2072,8.050827401645737
2073,8.052356729077664
2074,8.053995463866107
2075,8.055751110283103
2076,8.057632128985748
2077,8.059648098191188
2078,8.061809910800967
2079,8.06413001751138
2080,8.06662272937871
2081,8.069304598151142
2082,8.072194899619872
2083,8.075316255361976
2084,8.078695443285433
2085,8.082364470205368
2086,8.08636201512496
2087,8.090735408410822
2088,8.095543404874515
2089,8.100860166444912
2090,8.106781148532816
2091,8.113432098487047
2092,8.120983376460819
2093,8.129673889458969
2094,8.139853600445557
2095,8.152065146017414
2096,8.167217690272423
2097,8.18701571708574
2098,8.215286011400963
2099,8.264239801186104
2100,
